City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Lavrentiya,RU,2023-04-29 09:45:22,65.5833,-171.0,11.01,90,100,9.66
59,Mataura,NZ,2023-04-29 09:45:22,-46.1927,168.8643,52.48,86,41,2.93
60,Busselton,AU,2023-04-29 09:45:22,-33.65,115.3333,58.87,76,47,6.2
61,Gamba,GA,2023-04-29 09:45:22,-2.65,10.0,84.18,67,76,2.8
62,Meulaboh,ID,2023-04-29 09:45:23,4.1363,96.1285,83.71,73,100,3.71
63,Hilo,US,2023-04-29 09:40:56,19.7297,-155.09,72.63,96,100,5.75
64,Pevek,RU,2023-04-29 09:45:23,69.7008,170.3133,-2.33,100,23,3.36
65,Miri,MY,2023-04-29 09:45:23,4.4148,114.0089,86.14,74,40,5.75
66,New Norfolk,AU,2023-04-29 09:45:23,-42.7826,147.0587,53.1,52,48,4.0
67,Moerai,PF,2023-04-29 09:45:24,-22.4333,-151.3333,74.21,66,42,9.19
68,Qasigiannguit,GL,2023-04-29 09:45:24,68.8193,-51.1922,30.45,76,19,4.97
69,Sola,VU,2023-04-29 09:45:24,-13.8833,167.55,82.26,72,6,7.47
70,Nuuk,GL,2023-04-29 09:45:24,64.1835,-51.7216,32.61,93,0,2.3
71,Bluff,NZ,2023-04-29 09:45:25,-46.6,168.3333,52.81,80,17,10.87
72,Khatanga,RU,2023-04-29 09:45:25,71.9667,102.5,29.57,88,100,13.65
73,Nikolskoye,RU,2023-04-29 09:45:25,59.7035,30.7861,45.79,57,89,12.21
74,Gitega,BI,2023-04-29 09:45:25,-3.5,29.95,69.67,79,91,5.82
75,Charters Towers,AU,2023-04-29 09:45:25,-20.1,146.2667,73.87,55,100,8.52
76,Quelimane,MZ,2023-04-29 09:45:26,-17.8786,36.8883,82.35,61,40,5.01
77,Ballina,AU,2023-04-29 09:45:26,-28.8667,153.5667,66.78,75,98,11.9
78,Henties Bay,NA,2023-04-29 09:45:26,-22.116,14.2845,64.81,71,3,10.63
79,Uray,RU,2023-04-29 09:45:26,60.1247,64.7758,43.36,32,54,10.76
80,Hithadhoo,MV,2023-04-29 09:45:27,-0.6,73.0833,82.76,74,100,8.03
81,Manzanillo,CU,2023-04-29 09:45:27,20.3433,-77.1167,75.11,82,99,2.24
82,Luderitz,NA,2023-04-29 09:45:27,-26.6481,15.1594,73.81,40,0,17.98
83,Beira,MZ,2023-04-29 09:45:27,-19.8436,34.8389,78.89,69,20,3.6
84,Ushuaia,AR,2023-04-29 09:45:27,-54.8,-68.3,37.06,93,75,11.5
