City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,East London,ZA,-33.0153,27.9116,61.74,88,100,6.91,light rain
79,Itarema,BR,-2.9248,-39.9167,76.48,91,24,7.54,few clouds
80,Tholey,DE,49.4837,7.0369,59.77,43,100,11.81,overcast clouds
81,Griffith,US,41.5284,-87.4237,43.9,76,100,5.75,overcast clouds
82,Touros,BR,-5.1989,-35.4608,79.72,84,62,7.85,broken clouds
83,Coffs Harbour,AU,-30.3,153.1333,62.13,88,19,0.0,few clouds
84,Alta Gracia,AR,-31.6529,-64.4283,75.31,80,78,3.58,broken clouds
85,Port Arthur,CN,38.8,121.2667,64.62,51,0,11.27,clear sky
86,Casablanca,MA,33.5928,-7.6192,71.82,73,75,4.61,broken clouds
87,Vrangel,RU,42.7297,133.0839,45.14,83,63,11.36,broken clouds
88,Mar Del Plata,AR,-38.0023,-57.5575,67.08,81,0,11.5,clear sky
89,Mapiripan,CO,2.8892,-72.1256,72.5,97,89,2.35,overcast clouds
90,Kirensk,RU,57.7853,108.1119,42.96,77,93,11.41,light rain
91,Pauini,BR,-7.7136,-66.9764,72.45,99,100,1.74,light rain
92,Kruisfontein,ZA,-34.0033,24.7314,65.88,52,68,8.95,broken clouds
93,Busselton,AU,-33.65,115.3333,63.03,63,99,9.42,overcast clouds
94,Jensen Beach,US,27.2545,-80.2298,78.1,84,100,14.97,overcast clouds
95,Pevek,RU,69.7008,170.3133,1.65,95,100,2.93,overcast clouds
96,Najran,SA,17.4924,44.1277,88.45,29,70,3.04,broken clouds
97,Kieta,PG,-6.2167,155.6333,80.55,84,84,5.55,light rain
98,Sitka,US,57.0531,-135.33,49.89,87,100,4.61,light rain
99,Alugan,PH,12.2188,125.4808,81.3,83,100,6.73,overcast clouds
100,Thompson,CA,55.7435,-97.8558,33.96,86,75,3.44,broken clouds
101,Hirara,JP,24.8,125.2833,73.26,94,75,16.11,mist
102,Hurghada,EG,27.2574,33.8129,75.24,31,0,14.97,clear sky
103,Itororo,BR,-15.1169,-40.0703,70.93,92,46,1.12,scattered clouds
104,Chokurdakh,RU,70.6333,147.9167,14.07,96,97,4.9,overcast clouds
105,Vardo,NO,70.3705,31.1107,37.38,81,40,20.71,scattered clouds
106,Swellendam,ZA,-34.0226,20.4417,68.14,46,1,4.52,clear sky
107,Souillac,MU,-20.5167,57.5167,82.78,69,40,8.05,scattered clouds
108,Luderitz,NA,-26.6481,15.1594,72.99,46,35,9.15,scattered clouds
109,Guerrero Negro,MX,27.9769,-114.0611,58.5,88,100,12.08,overcast clouds
110,Nakskov,DK,54.8373,11.1284,51.12,62,10,11.9,clear sky
111,Clinton,US,42.587,-82.9199,44.94,91,0,0.0,clear sky
112,Zhigansk,RU,66.7697,123.3711,35.47,97,95,7.38,overcast clouds
113,Rongcheng,CN,30.634,117.8517,67.68,64,32,3.67,scattered clouds
114,Beitbridge,ZW,-22.2167,30.0,85.5,33,0,17.45,clear sky
115,Jutai,BR,-5.1833,-68.9,73.24,99,100,2.3,moderate rain
116,Sao Filipe,CV,14.8961,-24.4956,76.96,66,48,9.86,scattered clouds
117,Severobaykalsk,RU,55.65,109.3167,35.29,94,100,1.79,light snow
118,San Patricio,US,28.017,-97.5169,66.04,54,0,2.08,clear sky
119,Amalfi,CO,6.9102,-75.0776,59.74,99,100,2.37,light rain
120,Jamestown,US,42.097,-79.2353,54.99,94,75,6.91,broken clouds
121,Tuktoyaktuk,CA,69.4541,-133.0374,0.12,100,83,7.0,broken clouds
122,Juneau,US,58.3019,-134.4197,49.1,97,100,6.91,overcast clouds
123,New Norfolk,AU,-42.7826,147.0587,56.71,63,43,1.72,scattered clouds
124,Tilichiki,RU,60.4667,166.1,8.64,93,28,5.64,scattered clouds
125,Abu Zabad,SD,12.35,29.25,91.33,19,100,6.4,overcast clouds
126,Bluff,NZ,-46.6,168.3333,52.81,83,30,5.21,scattered clouds
127,Andenes,NO,69.3143,16.1194,38.93,87,75,16.11,sleet
128,Pau Brasil,BR,-15.4642,-39.6511,72.0,94,83,0.38,broken clouds
129,Bardiyah,LY,31.7561,25.0865,68.16,47,0,7.18,clear sky
130,Olinda,BR,-8.0089,-34.8553,80.33,83,75,2.3,broken clouds
131,Solna,SK,49.2231,18.7394,54.32,68,75,13.8,broken clouds
132,Matara,LK,5.9485,80.5353,86.25,66,95,8.1,overcast clouds
133,Hami,CN,42.8,93.45,78.4,9,100,6.17,overcast clouds
134,Fortuna,US,40.5982,-124.1573,49.66,96,15,2.37,few clouds
135,Castro,BR,-24.7911,-50.0119,56.59,90,97,7.65,overcast clouds
136,Kimparana,ML,12.8347,-4.9244,94.66,30,25,13.85,scattered clouds
137,Codrington,AU,-38.2667,141.9667,53.69,89,23,6.96,few clouds
138,Hobart,AU,-42.8794,147.3294,57.06,73,0,5.75,clear sky
139,Solnechnyy,RU,50.7214,136.6319,39.24,61,100,8.25,overcast clouds
140,Itaqui,BR,-29.1253,-56.5531,61.47,90,0,9.71,clear sky
141,Frolovo,RU,49.7713,43.6622,70.39,54,100,16.75,light rain
142,Prieska,ZA,-29.6641,22.7474,74.14,9,0,5.93,clear sky
143,Novominskaya,RU,46.3163,38.9586,57.9,66,100,11.83,light rain
144,Nikolskoye,RU,59.7035,30.7861,47.91,81,99,10.96,light rain
145,Flin Flon,CA,54.7682,-101.865,33.62,97,100,1.5,overcast clouds
146,Ust-Kut,RU,56.7938,105.7672,42.13,72,94,11.27,light rain
147,Salinopolis,BR,-0.6136,-47.3561,79.63,85,44,8.55,scattered clouds
148,Hithadhoo,MV,-0.6,73.0833,83.53,73,98,10.56,light rain
149,Qaanaaq,GL,77.484,-69.3632,18.45,74,25,7.45,scattered clouds
150,Bethel,US,41.3712,-73.414,50.02,90,100,6.91,mist
151,Kashi,CN,39.4547,75.9797,79.81,12,20,6.71,few clouds
152,Muisne,EC,0.6,-80.0333,76.14,92,100,4.65,overcast clouds
153,Karratha,AU,-20.7377,116.8463,80.82,24,100,9.73,overcast clouds
154,Necocli,CO,8.4234,-76.786,76.19,95,100,4.99,light rain
155,Bengkulu,ID,-3.8004,102.2655,83.25,74,43,5.14,scattered clouds
156,Longyearbyen,SJ,78.2186,15.6401,26.44,80,75,20.71,light snow
157,Wanning,CN,18.8003,110.3967,78.01,82,73,7.81,broken clouds
158,Plastun,RU,44.7561,136.2939,38.68,98,100,4.94,overcast clouds
159,Bud,US,39.447,-86.1758,44.62,95,85,6.64,overcast clouds
160,Bichena,ET,10.45,38.2,55.53,77,100,4.54,overcast clouds
161,Haifa,IL,32.8156,34.9892,68.94,46,20,13.8,few clouds
162,Gandai,IN,21.6667,81.1,82.94,45,90,2.33,overcast clouds
163,Ostrovnoy,RU,68.0531,39.5131,34.66,98,42,10.6,scattered clouds
164,Assiniboia,CA,49.6334,-105.9845,33.62,60,25,3.44,scattered clouds
165,Turukhansk,RU,65.8167,87.9833,33.73,90,58,14.81,broken clouds
166,Komsomolskiy,UZ,40.4272,71.7189,86.72,15,97,4.61,overcast clouds
167,Provideniya,RU,64.3833,-173.3,20.1,89,100,13.69,overcast clouds
